ROI_number,X_MNI,Y_MNI,Z_MNI,VOL,Frontal_L,Frontal_R,Insula_L,Insula_R,Occipital_L,Occipital_R,Parietal_L,Parietal_R,Subcortical_L,Subcortical_R,Temporal_L,Temporal_R
230,50.326,35.674,-2.6957,92,0,1,0,0,0,0,0,0,0,0,0,0
231,-46.159,25.091,3,88,1,0,0,0,0,0,0,0,0,0,0,0
232,40.046,-12.437,53.517,87,0,1,0,0,0,0,0,0,0,0,0,0
233,-9.2,31.924,25.619,105,1,0,0,0,0,0,0,0,0,0,0,0
234,8.7,-17.825,50.975,80,0,1,0,0,0,0,0,0,0,0,0,0
235,21.013,45.707,-14.933,75,0,1,0,0,0,0,0,0,0,0,0,0
236,-15.798,8.4944,62.494,89,1,0,0,0,0,0,0,0,0,0,0,0
237,18.491,-31.754,74.877,57,0,1,0,0,0,0,0,0,0,0,0,0
238,4.6377,36.638,55.42,69,0.043478,0.95652,0,0,0,0,0,0,0,0,0,0
239,-5.5238,49.771,34.61,105,1,0,0,0,0,0,0,0,0,0,0,0
240,-51.021,16.596,35.574,94,1,0,0,0,0,0,0,0,0,0,0,0
241,-50.104,3.3958,28.417,96,1,0,0,0,0,0,0,0,0,0,0,0
242,25.241,62.161,-12.874,87,0,1,0,0,0,0,0,0,0,0,0,0
243,46.068,19.915,29.231,117,0,1,0,0,0,0,0,0,0,0,0,0
244,22.409,-7.9785,60.129,93,0,1,0,0,0,0,0,0,0,0,0,0
245,41.035,9.7412,27.929,85,0,1,0,0,0,0,0,0,0,0,0,0
246,25.882,15.412,-21.176,51,0,1,0,0,0,0,0,0,0,0,0,0
247,-39.325,7.3253,41.205,83,1,0,0,0,0,0,0,0,0,0,0,0
248,13.25,69.229,7.7708,96,0,1,0,0,0,0,0,0,0,0,0,0
249,-3.6393,-32.426,65.18,61,1,0,0,0,0,0,0,0,0,0,0,0
250,4.6923,67.231,12.333,78,0,1,0,0,0,0,0,0,0,0,0,0
251,-1.1389,20.25,-20.917,72,0.75,0.25,0,0,0,0,0,0,0,0,0,0
252,38.33,56.703,12.637,91,0,1,0,0,0,0,0,0,0,0,0,0
253,-24.282,62.436,-11.667,78,1,0,0,0,0,0,0,0,0,0,0,0
254,-44.323,-8.7475,45.374,99,1,0,0,0,0,0,0,0,0,0,0,0
255,11.379,15.592,66.35,103,0,1,0,0,0,0,0,0,0,0,0,0
256,-11.2,16.889,64.533,90,1,0,0,0,0,0,0,0,0,0,0,0
257,8.3836,8.1918,39.205,73,0,1,0,0,0,0,0,0,0,0,0,0
258,-31.654,60.444,7.6049,81,1,0,0,0,0,0,0,0,0,0,0,0
259,13.629,-15.175,74.103,97,0,1,0,0,0,0,0,0,0,0,0,0
260,-42.489,23.2,-7.0889,90,1,0,0,0,0,0,0,0,0,0,0,0
261,35.192,35.03,27.778,99,0,1,0,0,0,0,0,0,0,0,0,0
262,-20.638,42.979,44,94,1,0,0,0,0,0,0,0,0,0,0,0
263,5.0435,27.391,20.464,69,0,1,0,0,0,0,0,0,0,0,0,0
264,-9.8696,59.13,12.174,92,1,0,0,0,0,0,0,0,0,0,0,0
265,41.684,27.432,-4.6316,95,0,1,0,0,0,0,0,0,0,0,0,0
266,2.0806,-12.806,50.629,124,0.37097,0.62903,0,0,0,0,0,0,0,0,0,0
267,-47.976,35.073,-14.341,82,1,0,0,0,0,0,0,0,0,0,0,0
268,48.02,9.9406,48.911,101,0,1,0,0,0,0,0,0,0,0,0,0
269,44.836,25.836,39.691,110,0,1,0,0,0,0,0,0,0,0,0,0
270,-15.848,-18,75.19,79,1,0,0,0,0,0,0,0,0,0,0,0
271,-6.8736,32.989,-9.8621,87,1,0,0,0,0,0,0,0,0,0,0,0
272,21.387,38.027,41.813,75,0,1,0,0,0,0,0,0,0,0,0,0
273,-27.094,14.906,-20.717,53,1,0,0,0,0,0,0,0,0,0,0,0
274,-54.382,-3.2059,14.147,68,1,0,0,0,0,0,0,0,0,0,0,0
275,-38.755,28.143,42.959,98,1,0,0,0,0,0,0,0,0,0,0,0
276,20.789,32.368,-14.921,76,0,1,0,0,0,0,0,0,0,0,0,0
277,7.1966,13.675,52.991,117,0,1,0,0,0,0,0,0,0,0,0,0
278,-22.348,24.152,47.283,92,1,0,0,0,0,0,0,0,0,0,0,0
279,-22.685,40.685,-15.479,73,1,0,0,0,0,0,0,0,0,0,0,0
280,-4.6506,62.699,-16.843,83,1,0,0,0,0,0,0,0,0,0,0,0
281,13.115,21.41,-23.77,61,0,1,0,0,0,0,0,0,0,0,0,0
282,24.323,56.065,31.376,93,0,1,0,0,0,0,0,0,0,0,0,0
283,-9.4524,8.5952,51.643,84,1,0,0,0,0,0,0,0,0,0,0,0
284,57.165,13.341,3.6703,91,0,1,0,0,0,0,0,0,0,0,0,0
285,-43.134,49.052,8.8041,97,1,0,0,0,0,0,0,0,0,0,0,0
286,-31.147,-21.353,69.265,68,1,0,0,0,0,0,0,0,0,0,0,0
287,13.804,3.902,70.412,102,0,1,0,0,0,0,0,0,0,0,0,0
288,-35.792,22.338,-20.494,77,1,0,0,0,0,0,0,0,0,0,0,0
289,55.96,9.1313,34.747,99,0,1,0,0,0,0,0,0,0,0,0,0
290,-3.15,17.525,25.85,80,1,0,0,0,0,0,0,0,0,0,0,0
291,-57.885,-4.8736,35.126,87,1,0,0,0,0,0,0,0,0,0,0,0
292,36.8,48.8,-12.58,100,0,1,0,0,0,0,0,0,0,0,0,0
293,-10.105,66.684,17.289,76,1,0,0,0,0,0,0,0,0,0,0,0
294,-30.24,-12.14,59.62,100,1,0,0,0,0,0,0,0,0,0,0,0
295,5.2985,42.493,39.388,134,0.044776,0.95522,0,0,0,0,0,0,0,0,0,0
296,12.831,26.416,-16.805,77,0,1,0,0,0,0,0,0,0,0,0,0
297,-9.62,23.74,35.56,100,1,0,0,0,0,0,0,0,0,0,0,0
298,-50,-4.6197,50.761,71,1,0,0,0,0,0,0,0,0,0,0,0
299,6.3495,49.359,-17.029,103,0,1,0,0,0,0,0,0,0,0,0,0
300,-13.248,47.633,43.266,109,1,0,0,0,0,0,0,0,0,0,0,0
301,3.9298,-6.807,32.632,57,0,1,0,0,0,0,0,0,0,0,0,0
302,53.974,-1.5844,29.221,77,0,1,0,0,0,0,0,0,0,0,0,0
303,5.8302,-20.717,66.226,106,0.018868,0.98113,0,0,0,0,0,0,0,0,0,0
304,31.42,62.76,-5.42,100,0,1,0,0,0,0,0,0,0,0,0,0
305,-23.805,-5.2743,69.221,113,1,0,0,0,0,0,0,0,0,0,0,0
306,54.857,32.396,3.9341,91,0,1,0,0,0,0,0,0,0,0,0,0
307,-10.571,-36.971,68.886,70,1,0,0,0,0,0,0,0,0,0,0,0
308,36.124,48.68,13.546,97,0,1,0,0,0,0,0,0,0,0,0,0
309,-51.139,19.889,-1.6667,72,1,0,0,0,0,0,0,0,0,0,0,0
310,4.4,15.556,-16,45,0,1,0,0,0,0,0,0,0,0,0,0
311,39.25,-15.583,64.306,72,0,1,0,0,0,0,0,0,0,0,0,0
312,-21.714,49.206,-15.048,63,1,0,0,0,0,0,0,0,0,0,0,0
313,-46.615,5.7115,37.058,104,1,0,0,0,0,0,0,0,0,0,0,0
314,-30.247,42.337,38.112,89,1,0,0,0,0,0,0,0,0,0,0,0
315,30.965,28.659,-11.294,85,0,1,0,0,0,0,0,0,0,0,0,0
316,36.633,30.017,47.6,120,0,1,0,0,0,0,0,0,0,0,0,0
317,4.0238,39.167,6.6667,84,0.13095,0.86905,0,0,0,0,0,0,0,0,0,0
318,18.042,-15.663,64.989,95,0,1,0,0,0,0,0,0,0,0,0,0
319,5.3827,54.889,37.778,81,0,1,0,0,0,0,0,0,0,0,0,0
320,5.9211,-28.789,64.921,76,0,1,0,0,0,0,0,0,0,0,0,0
321,-34.87,8.9565,51.152,92,1,0,0,0,0,0,0,0,0,0,0,0
322,5.1795,-3.6667,69.282,78,0,1,0,0,0,0,0,0,0,0,0,0
323,52.27,9.381,13.968,126,0,1,0,0,0,0,0,0,0,0,0,0
324,-7.5372,33.471,56.893,121,1,0,0,0,0,0,0,0,0,0,0,0
